trade_id,coin,type,timeframe,entry_price,exit_price,profit,profit_percentage,entry_time,exit_time,tp1_time,tp2_time,tp3_time
#1079,LTC,short,1h,132.61320655527607,133.62278182165176,-0.761293156692413,-0.761293156692413,12/06/2024 16:00,12/06/2024 17:00,,,
#1050,ARB,long,1h,1.1393720378603887,1.1749049004395111,1.8192041302048003,1.8192041302048003,12/06/2024 14:00,12/06/2024 17:00,12/06/2024 15:00,12/06/2024 16:00,12/06/2024 17:00
#1055,_ETHFI,long,1h,2.7726100353387175,2.888007368113344,2.4278607495184623,2.4278607495184623,12/06/2024 14:00,12/06/2024 17:00,12/06/2024 15:00,12/06/2024 16:00,12/06/2024 17:00
#1056,LDO,long,1h,2.1670093646675475,2.2413682358475415,2.001653010622057,2.001653010622057,12/06/2024 14:00,12/06/2024 17:00,12/06/2024 15:00,12/06/2024 16:00,12/06/2024 17:00
#1088,SEI,long,1h,0.6928766241064076,0.6928766241064076,0.0,0.0,12/06/2024 17:00,12/06/2024 17:00,,,
#1057,__BEAM,long,1h,0.03235152224668628,0.03348083019277987,2.036265754456326,2.036265754456326,12/06/2024 14:00,12/06/2024 17:00,12/06/2024 15:00,12/06/2024 16:00,12/06/2024 17:00
#1093,_______________DOG,short,1h,0.006702087864248386,0.006702087864248386,0.0,0.0,12/06/2024 17:00,12/06/2024 17:00,,,
#1064,CBETH,long,1h,4215.359401732191,4277.646126420833,0.8619412788411457,0.8619412788411457,12/06/2024 14:00,12/06/2024 17:00,12/06/2024 15:00,12/06/2024 16:00,12/06/2024 17:00
#1084,_SNEK,long,1h,0.008438655875949863,0.008298410210978262,-1.661943170017166,-1.661943170017166,12/06/2024 16:00,12/06/2024 17:00,,,
#1086,DOT,short,1h,10.469973311457556,10.515666462028088,-0.4364208886810519,-0.4364208886810519,12/06/2024 17:00,12/06/2024 18:00,,,
#1098,LTC,long,1h,135.59843808455147,135.59843808455147,0.0,0.0,12/06/2024 18:00,12/06/2024 18:00,,,
#1051,_TIA,long,1h,8.584718003844714,9.025185074681772,2.992982699488547,2.992982699488547,12/06/2024 14:00,12/06/2024 18:00,12/06/2024 15:00,12/06/2024 17:00,12/06/2024 18:00
#1058,PENDLE,long,1h,6.569051814939812,6.846725937239049,2.465752682492825,2.465752682492825,12/06/2024 14:00,12/06/2024 18:00,12/06/2024 15:00,12/06/2024 16:00,12/06/2024 18:00
